project_id,tag,Reasoning,title,description,project_url,operating_unit,budget,expense,budget_breakdown,our_focus,signature_solutions,sdg,sdg_names,focus_area,focus_area_descr,markers,start_date,end_date
1000282,none,"The project focuses on local peace building and community resilience through civic engagement, thematic capacitation, and strengthening local institutions. There is no mention of water-related issues or infrastructure.",Local Peace Building and Community Resilience,"Pillar II: Local Peace Building and community resilienceThe project will build on accumulated experience and channels to civic actors and local communities; to scale up piloted interventions to achieve :a)	More civic engagement beyond services provision; guided with a thorough strategy to materialize the 3Ps: Participation; Protection and Promotion.b)	Thematic capacitation for local communities, authorities and civic actors and organizations; to take meaningful participation in policy and decision-making process.c)	Strengthen core local institutions functions’ effectiveness and efficiency, including management, participatory and context sensitive local planning, coordination, and crisis response.",https://open.undp.org/projects/01000282,Syria,9385167.0,3264374.0,"Budget by year: 2025: $887,862.00; 2024: $6,105,184.00; 2023: $2,392,121.00. SDG 16 (Peace, justice, and strong institutions) budget: 2023: $2,389,728.88; 2023: $2,392,599.42; 2024: $6,099,078.82; 2024: $6,106,405.04; 2025: $886,974.14; 2025: $888,039.57. ",,,16,"Peace, justice, and strong institutions",21,"Structural transformation, including green, inclusive and digital transitions","Digital: Output partially enabled through digital technology; OECD DAC Sector: 150 - Government & Civil Society, 152 - Conflict, Peace & Security, 160 - Other Social Infrastructure & Services",2023-01-01,2025-12-31
00147835,none,"The title and description do not provide any information related to water management, water supply, or water infrastructure.",GCF  Readiness India phase III,GCF Readiness India phase III,https://open.undp.org/projects/00147835,India,1028094.0,326927.0,"Budget by year: 2025: $338,380.00; 2024: $387,937.00; 2023: $301,777.00. SDG 13 (Climate action) budget: 2023: $301,777.00; 2024: $387,937.00; 2025: $338,380.00. ",,,13,Climate action,23,Building resilience,"Climate: Policies and Enabling Environment; Digital: No digital technology utilized, Output partially enabled through digital technology; OECD DAC Sector: 410 - General Environment Protection, 998 - Unallocated / Unspecified",2023-04-03,2025-09-30
01001021,related,"The project mentions the Nistru River, indicating that it involves communities on both sides of a river, which makes it related to water. However, the primary focus is on community building and confidence measures rather than water management.","European Union Confidence Building Measures Programme, Phase 6","The overall objective of the programme is to contribute to the improved confidence between communities on both banks of the Nistru River, through joint initiatives involving local communities, civil society organizations, business actors and other stakeholders.",https://open.undp.org/projects/01001021,"Moldova, Republic of",4375232.0,1752889.0,"Budget by year: 2025: $2,623,094.00; 2024: $1,600,000.00; 2023: $152,138.00. SDG 8 (Decent work and economic growth) budget: 2023: $60,855.20; 2024: $640,000.00; 2025: $1,049,237.60. SDG 9 (Industry, innovation and infrastructure) budget: 2023: $30,427.60; 2024: $320,000.00; 2025: $524,618.80. SDG 16 (Peace, justice, and strong institutions) budget: 2023: $60,855.20; 2024: $640,000.00; 2025: $1,049,237.60. ",,,"8, 9, 16","Decent work and economic growth, Industry, innovation and infrastructure, Peace, justice, and strong institutions",22,Leaving no one behind,"Digital: Output partially enabled through digital technology; OECD DAC Sector: 160 - Other Social Infrastructure & Services, 250 - Business & Other Services",2023-07-19,2025-12-31
01001254,none,"This project focuses on enhancing the technical, operational, and administrative capacities of the National Parks Administration, addressing forest fire management, emergencies, and socio-environmental projects within protected areas without specific mention of water management or related infrastructure.",ARG23004 - Administración de Parques Nacionales,"Fortalecer las capacidades técnicas, operativas y administrativas de la Administración de Parques Nacionales (APN), a fin de reforzar la gestión para mejorar el manejo de las áreas protegidas, y dar respuesta a las demandas ambientales y sociales. Para ello, es necesario dotar a la APN de mayores herramientas y fortalecer las actuales, aportando mecanismos que permitan agilizar procesos que acompañen la ampliación y creación de áreas que administra el Organismo. Buscará fortalecer aspectos de la gestión en áreas específicas como manejo de incendiosforestales y emergencias; desarrollo de proyectos socioambientales dentro de las áreas protegidas y en las zonas de amortiguamiento; y fomentar el desarrollo de la Fundación Parques.",https://open.undp.org/projects/01001254,Argentina,4754093.0,34252.0,"Budget by year: 2025: $1,648,592.00; 2024: $3,090,695.00; 2023: $14,806.00. SDG 15 (Life on Land) budget: 2023: $14,806.00; 2024: $3,090,695.00; 2025: $1,648,592.00. ",,,15,Life on Land,21,"Structural transformation, including green, inclusive and digital transitions",Digital: Output partially enabled through digital technology; OECD DAC Sector: 410 - General Environment Protection,2023-09-13,2026-09-30
01001517,related,"The project mentions stabilization, revitalization, and resilience but does not specifically mention any water-focused activities. It may contain a water element indirectly.",TCD-STARR Programme,"Programme Stabilisation, Revitalisation et Résilience",https://open.undp.org/projects/01001517,Chad,2168843.0,971762.0,"Budget by year: 2025: $359,984.00; 2024: $939,610.00; 2023: $869,249.00. ",,,,,21,"Structural transformation, including green, inclusive and digital transitions","Hows: Capacity Development / Technical Assistance, Direct support / Service Delivery; Partner: African Development Bank (AfDB); Whos: People living under the national poverty line, Persons negatively affected by armed conflict or violence, Refugees; COVID-19 Response: COVID-19 sensitive work; Digital: No digital technology utilized; Human Rights: Significant contribution to realization of human rights; Sustaining Peace: Sustaining peace is a significant objective; OECD DAC Sector: 152 - Conflict, Peace & Security",2023-01-01,2025-12-31
01000309,none,"This project is focused on financial inclusion by providing access to savings accounts and debit cards, without any direct connection to water management or water-related infrastructure.",PROGRAMA DE INCLUSIÓN FINANCIERA PARA BANCARIZAR CON CUENTA DE AHORROS-TARJETAS DE DEBITO A LA POBLACIÓN DE LA BASE DE LA PIRÁMIDE DE BURENDE Y CONSTANZA,"LOS SERVICIOS POR PRESTAR TIENEN COMO FINALIDAD ASESORAR A LA ASOCIACIÓN CIBAO DE AHORROS Y PRÉSTAMOS (ACAP) EN LA ELABORACIÓN Y EJECUCIÓN DE UN PROGRAMA DE INCLUSIÓN FINANCIERA PARA BANCARIZAR CON CUENTA DE AHORROS-TARJETAS DE DÉBITO O CUENTA DIGITAL A LA POBLACIÓN DE LA BASE DE LA PIRÁMIDE DE BURENDE Y CONSTANZA, CON LA FINALIDAD DE GENERAR CAPACIDADES Y PROMOVER LA BANCARIZACIÓN DE LAS PERSONAS BENEFICIARIAS, APORTANDO CON ELLO ESENCIALMENTE A LOS ODS 1, 5, 8, 10 Y 17.",https://open.undp.org/projects/01000309,Dominican Republic,0.0,37856.0,Budget by year: 2024: $0.00; 2023: $0.00. SDG 8 (Decent work and economic growth) budget: 2023: $0.00; 2024: $0.00. ,,,8,Decent work and economic growth,22,Leaving no one behind,Digital: Output partially enabled through digital technology; OECD DAC Sector: 240 - Banking & Financial Services,2023-03-01,2024-12-31
01000712,none,"This project is focused on strengthening electoral conflict prevention and management, with no mention of water-related components.",Prevención y Gestión de Conflictos Electorales en el Perú,"Fortalecer las capacidades de los organismos electorales, autoridades regionales, organizaciones políticas y sociedad civil para prevenir y gestionar conflictos político-electorales.",https://open.undp.org/projects/01000712,Peru,2073200.0,1015479.0,"Budget by year: 2025: $0.00; 2024: $788,331.00; 2023: $1,284,869.00. SDG 16 (Peace, justice, and strong institutions) budget: 2023: $1,284,869.00; 2024: $788,331.00; 2025: $0.00. ",,,16,"Peace, justice, and strong institutions",23,Building resilience,"Digital: Digital technology is principal enabler for the output; OECD DAC Sector: 152 - Conflict, Peace & Security",2023-01-01,2025-06-30
01000998,related,"The project focuses on disaster recovery and resilience in the Philippines, which includes climate-induced disasters such as typhoons. These disasters often involve significant water-related crises (e.g., flooding, storm surges). However, the project's primary focus is on overall disaster management rather than water management specifically.",Managing Recovery from Disasters in the Philippines,"The Philippines is considered one of the most disaster-prone countries in the world. Due to its geographical location, both along the typhoon belt and the Pacific Ring of Fire, the country ranks among the top 10 countries most vulnerable to climate-induced geohazards. With the climate and disaster risks and vulnerabilities of the country, there is an urgent need for timely, well-planned, gender-sensitive inclusive intervention. The UNDP Philippines Country Office (CO) is implementing its Managing Recovery from Disasters in the Philippines Project Initiation Plan (MRDP PIP) which allows it to deliver high-impact recovery and resilience strategies and programs in the context of a climate change-induced new normal. The project aims to strengthen the capacity of the Philippine government, both at the national and local levels, and partner communities in facilitating the timely and sustainable recovery of affected families devastated by disasters. The MRDP PIP will strengthen disaster recovery capabilities of UNDP",https://open.undp.org/projects/01000998,Philippines,376147.0,130162.0,"Budget by year: 2025: $0.00; 2024: $256,162.00; 2023: $119,985.00. SDG 11 (Sustainable cities and communities) budget: 2023: $119,985.00; 2024: $256,162.00; 2025: $0.00. ",,,11,Sustainable cities and communities,23,Building resilience,"Hows: Direct support / Service Delivery; Partner: Donor government; Whos: Internally displaced persons, Persons directly affected by natural disasters; Digital: No digital technology utilized; Human Rights: Limited contribution to realization of human rights; Sustaining Peace: Not expected to contribute towards sustaining peace; OECD DAC Sector: 740 - Disaster Prevention & Preparedness",2023-08-01,2024-12-31
01000055,none,There is no mention of water-related elements or water management in the project's title or description.,Today's Youth Future Jobs Project,"The overall objective (Impact) of the project is to strengthen human capital of Türkiye gender equally by building digital capacity for future professions. The IT, robotics and coding, e-transformation, digital marketing, and complementary areas such as social innovation, solution oriented and design thinking, etc. will be future skills required for youth and adolescents to create added value products to the technology market.",https://open.undp.org/projects/01000055,Turkiye,3611305.0,3007382.0,"Budget by year: 2025: $0.00; 2024: $2,750,000.00; 2023: $861,305.00. SDG 9 (Industry, innovation and infrastructure) budget: 2023: $861,305.00; 2024: $2,750,000.00; 2025: $0.00. ",,,9,"Industry, innovation and infrastructure",23,Building resilience,Digital: Digital technology is principal enabler for the output; OECD DAC Sector: 110 - Education,2023-01-23,2027-12-31
01000179,related,"While the project involves managing environmental risks in the Red Sea, which is a water body, the primary focus is on biodiversity and environmental risks rather than directly on water management or infrastructure.",Safer Salvage Operation,Managing Biodiversity and Environmental Risks Associated with the Safer Salvage Operation in the Red Sea,https://open.undp.org/projects/01000179,Yemen,62135.0,62135.0,"Budget by year: 2023: $62,135.00. SDG 3 (Good health and well-being) budget: 2023: $62,135.00. ",,,3,Good health and well-being,23,Building resilience,Digital: No digital technology utilized; OECD DAC Sector: 740 - Disaster Prevention & Preparedness,2023-02-14,2024-12-12
